ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,APPROVED
5009338,M,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18674,-5304,1,1,1,0,Security staff,2.0,0
5009349,M,N,N,0,180000.0,Commercial associate,Lower secondary,Married,House / apartment,-21155,-130,1,0,1,0,Drivers,2.0,1
5009355,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19692,-5273,1,1,1,0,Laborers,2.0,0
5009359,F,Y,N,0,900000.0,Working,Higher education,Single / not married,House / apartment,-19063,-7404,1,0,0,0,Managers,1.0,1
5009378,F,N,N,2,225000.0,Working,Higher education,Married,House / apartment,-11281,-1744,1,1,0,1,Core staff,4.0,1
5009383,F,N,N,0,450000.0,State servant,Higher education,Married,House / apartment,-14718,-5578,1,0,1,0,Managers,2.0,1
5009396,F,N,N,1,76500.0,Working,Higher education,Civil marriage,House / apartment,-12506,-495,1,1,0,0,Accountants,3.0,1
5009402,M,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20604,-252,1,1,1,0,Security staff,2.0,0
5009404,F,N,N,2,67500.0,Commercial associate,Higher education,Married,House / apartment,-10331,-433,1,0,1,0,Core staff,4.0,0
5009405,M,N,N,0,234000.0,Working,Incomplete higher,Married,House / apartment,-13923,-2290,1,1,1,0,Drivers,2.0,1
5009415,F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19304,-464,1,1,1,0,Core staff,1.0,0
5009423,F,N,N,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19569,-1013,1,0,0,0,Security staff,2.0,0
5009428,M,N,N,0,198000.0,Working,Secondary / secondary special,Single / not married,With parents,-8657,-1164,1,1,0,0,Laborers,1.0,0
5009431,M,Y,N,0,360000.0,State servant,Higher education,Married,Municipal apartment,-14835,-1195,1,1,1,0,Drivers,2.0,1
5009441,F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-9489,-1682,1,0,1,0,Other,2.0,0
5009445,F,Y,N,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-13855,-739,1,1,0,0,Other,2.0,0
5009447,M,Y,N,0,81000.0,Working,Secondary / secondary special,Married,With parents,-14435,-3386,1,1,0,0,Drivers,2.0,0
5009487,F,N,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9736,-2870,1,0,0,0,Other,4.0,1
5009490,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16196,-6218,1,1,1,0,Laborers,2.0,1
5009493,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11706,-1164,1,1,0,1,Drivers,2.0,1
5009507,F,N,N,0,202500.0,Working,Higher education,Married,House / apartment,-16100,-4939,1,0,1,0,Core staff,2.0,0
5009512,F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,-16888,-2687,1,0,0,0,Core staff,2.0,1
5009518,M,Y,N,2,180000.0,Working,Incomplete higher,Married,House / apartment,-12463,-2170,1,1,0,0,Laborers,4.0,0
5009523,M,Y,N,1,112500.0,Working,Secondary / secondary special,Separated,Co-op apartment,-11998,-1135,1,1,0,0,Laborers,2.0,0
5009526,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,1,0,1,0,Other,2.0,1
5009536,M,Y,N,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,-15455,-890,1,1,0,0,Laborers,2.0,1
5009537,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15527,-1744,1,1,1,0,Sales staff,2.0,1
5009565,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15153,-3143,1,1,1,0,Laborers,2.0,1
5009575,F,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17074,-798,1,0,0,0,Accountants,2.0,1
5009585,F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,-14374,-798,1,0,1,0,Sales staff,1.0,1
5009590,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-8488,-1835,1,0,1,0,Other,2.0,0
5009593,F,Y,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,-17383,-890,1,1,1,0,Core staff,2.0,1
5009602,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13455,-2748,1,1,1,0,Sales staff,2.0,1
5009603,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12872,-3720,1,1,0,0,Sales staff,3.0,0
5009607,F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12277,-982,1,1,1,0,High skill tech staff,4.0,1
5009620,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19056,-99,1,1,0,0,Drivers,2.0,1
5009625,F,N,N,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,-19305,-3296,1,1,0,0,Laborers,2.0,1
5009631,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-9890,-2047,1,0,1,0,Laborers,2.0,1
5009633,M,Y,N,1,144000.0,Working,Incomplete higher,Married,House / apartment,-10049,-283,1,1,0,0,Drivers,3.0,0
5009642,M,N,N,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-8489,-921,1,1,0,0,Other,1.0,0
5009646,M,N,N,0,117000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14689,-3661,1,1,0,0,Low-skill Laborers,1.0,1
5009651,F,N,N,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-18650,-10936,1,0,1,0,Other,2.0,1
5009660,M,N,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,-10166,-1774,1,1,0,0,Other,1.0,1
5009671,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15805,-433,1,1,0,0,Core staff,2.0,0
5009706,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,-11644,-344,1,0,0,0,Managers,2.0,0
5009711,F,Y,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,-11102,-433,1,1,1,0,Sales staff,2.0,0
5009719,F,N,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19316,-4451,1,1,1,0,Other,1.0,0
5009724,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-9887,-2474,1,0,1,0,Sales staff,2.0,1
5009729,M,Y,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-13178,-1317,1,1,0,0,Laborers,2.0,1
5009732,F,Y,N,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19341,-7314,1,1,1,0,Managers,2.0,1
5009742,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12328,-2474,1,1,1,0,Sales staff,2.0,1
5009757,M,Y,N,0,270000.0,Working,Higher education,Single / not married,House / apartment,-9087,-1682,1,0,0,0,Laborers,1.0,1
5009762,M,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14118,-3174,1,0,0,0,Laborers,1.0,1
5009783,M,Y,N,2,445500.0,State servant,Higher education,Married,Municipal apartment,-14906,-6826,1,1,0,0,Core staff,4.0,1
5009805,F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11813,-3266,1,1,1,0,Sales staff,3.0,0
5009819,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-14883,-5457,1,0,1,0,Cooking staff,2.0,1
5009826,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15759,-374,1,1,0,0,Sales staff,2.0,1
5009831,M,Y,N,0,166500.0,Working,Higher education,Married,With parents,-10435,-1713,1,1,0,0,Core staff,2.0,1
5009839,M,Y,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12636,-405,1,0,0,0,Laborers,2.0,1
5009844,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-15901,-130,1,1,0,0,Security staff,2.0,1
5009846,M,N,N,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12282,-405,1,0,1,0,Managers,2.0,1
5009872,M,Y,N,2,427500.0,Commercial associate,Higher education,Married,House / apartment,-15144,-6400,1,1,0,0,Managers,4.0,1
5009877,F,N,Y,2,157500.0,State servant,Higher education,Married,House / apartment,-15499,-1287,1,1,1,0,Core staff,4.0,1
5009879,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,-9839,-1835,1,1,0,0,Laborers,4.0,0
5009889,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13172,-1195,1,0,0,1,Managers,1.0,1
5009893,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,-11992,-2351,1,0,0,0,Private service staff,3.0,0
5009897,F,Y,Y,2,90000.0,State servant,Higher education,Married,House / apartment,-11131,-405,1,0,0,0,Core staff,4.0,0
5009900,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19120,-3661,1,0,0,0,Drivers,2.0,1
5009922,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-19958,-7465,1,0,0,0,Laborers,2.0,0
5009934,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10710,-2351,1,0,0,0,Sales staff,4.0,0
5009944,F,N,Y,0,135000.0,Working,Incomplete higher,Single / not married,House / apartment,-8482,-1501,1,1,0,1,Other,1.0,0
5009946,F,Y,Y,2,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-12690,-4451,1,0,0,0,Cooking staff,4.0,1
5009957,F,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16613,-3235,1,0,0,0,Other,3.0,1
5009965,F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-20644,-3873,1,0,0,0,Medicine staff,2.0,0
5009991,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Office apartment,-14749,-2382,1,0,0,1,Drivers,4.0,1
5009993,F,N,Y,0,135000.0,Working,Incomplete higher,Married,House / apartment,-16839,-3692,1,0,0,0,Managers,2.0,1
5009999,F,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12330,-2809,1,0,1,1,Accountants,3.0,1
5010001,F,N,Y,2,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-12242,-2047,1,0,0,0,Core staff,4.0,1
5010015,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12896,-709,1,0,0,0,Other,2.0,0
5010020,F,N,N,0,99000.0,Commercial associate,Higher education,Single / not married,With parents,-10833,-2504,1,0,0,1,Other,1.0,1
5010023,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20782,-2321,1,0,0,0,Laborers,2.0,0
5010041,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-21889,-8469,1,1,0,0,Core staff,2.0,1
5010052,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18474,-3021,1,0,0,1,Cleaning staff,2.0,1
5010057,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16975,-2504,1,0,1,1,Laborers,1.0,1
5010070,F,N,Y,0,279000.0,State servant,Higher education,Single / not married,House / apartment,-11091,-617,1,0,0,1,Managers,1.0,0
5010072,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16757,-3508,1,0,0,0,Core staff,2.0,1
5010081,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20931,-191,1,0,1,1,Security staff,2.0,1
5010088,F,Y,Y,0,112500.0,Working,Incomplete higher,Single / not married,With parents,-8128,-951,1,0,0,1,Sales staff,1.0,1
5010089,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10304,-1682,1,0,0,0,Laborers,2.0,0
5010099,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,-13541,-3965,1,0,0,0,Core staff,4.0,1
5010117,F,N,Y,1,67500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15397,-1894,1,1,1,0,Core staff,3.0,1
5010118,M,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8363,-525,1,0,0,0,Other,1.0,0
5010119,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-14170,-921,1,0,0,0,Managers,2.0,1
5010126,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12927,-2078,1,1,1,1,Managers,4.0,1
5010147,F,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12500,-5762,1,0,0,0,Managers,3.0,0
5010158,M,Y,Y,0,202500.0,Commercial associate,Lower secondary,Married,House / apartment,-18614,-7738,1,0,0,0,Other,2.0,1
5010160,M,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,-22117,-1621,1,0,1,1,Security staff,2.0,0
5010165,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-18501,-1866,1,0,0,0,Medicine staff,2.0,0
5010174,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-8824,-739,1,0,0,1,Laborers,2.0,0
5010182,M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16797,-6583,1,0,1,0,Laborers,2.0,1
5010188,F,N,Y,0,76500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15602,-5061,1,0,1,0,Sales staff,2.0,1
5010195,M,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,-18104,-1317,1,0,0,0,Drivers,2.0,1
5010208,F,N,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-13764,-3996,1,0,0,1,Core staff,2.0,0
5010210,M,Y,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-18973,-1074,1,1,0,0,Other,2.0,1
5010215,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-17532,-8044,1,0,0,0,Medicine staff,3.0,1
5010228,M,Y,Y,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-21572,-2170,1,0,0,0,Secretaries,2.0,1
5010234,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16507,-4331,1,0,0,0,Drivers,2.0,1
5010241,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-20145,-1043,1,0,0,0,Laborers,2.0,1
5010253,F,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,House / apartment,-19714,-8348,1,0,0,0,Managers,2.0,1
5010256,F,Y,Y,1,67500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14686,-3600,1,1,0,0,Cooking staff,3.0,0
5010258,M,N,Y,1,562500.0,Working,Incomplete higher,Married,House / apartment,-13790,-5639,1,1,1,0,Other,3.0,1
5010293,F,N,Y,0,99000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10016,-1164,1,1,0,0,Sales staff,1.0,0
5010296,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14918,-1866,1,0,0,0,Sales staff,2.0,1
5010302,F,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20233,-6218,1,1,1,0,Other,2.0,0
5010309,F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15109,-1956,1,0,0,0,Core staff,3.0,0
5010346,F,N,Y,0,328500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20023,-1894,1,0,0,1,Managers,2.0,0
5010348,F,N,N,0,126000.0,Working,Secondary / secondary special,Single / not married,With parents,-8209,-951,1,0,0,0,Sales staff,1.0,1
5010351,M,Y,N,1,180000.0,State servant,Incomplete higher,Married,With parents,-10591,-1195,1,0,0,0,Drivers,3.0,1
5010356,F,N,Y,0,310500.0,State servant,Higher education,Single / not married,House / apartment,-13141,-1317,1,0,0,1,Accountants,1.0,1
5010358,F,N,Y,0,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14265,-7373,1,1,1,0,Laborers,2.0,0
5010360,F,N,Y,2,67500.0,Working,Secondary / secondary special,Separated,House / apartment,-14832,-7404,1,1,0,0,Other,3.0,1
5010365,F,Y,Y,1,157500.0,Working,Higher education,Separated,House / apartment,-9800,-2109,1,0,0,1,Medicine staff,2.0,1
5010385,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-13758,-2535,1,0,0,1,Managers,2.0,1
5010414,M,Y,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-13425,-3143,1,0,0,0,Drivers,2.0,1
5010420,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-15675,-283,1,0,0,1,Medicine staff,2.0,1
5010431,F,Y,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-11107,-130,1,0,0,0,Sales staff,3.0,1
5010453,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13247,-5823,1,1,0,0,Core staff,2.0,1
5010456,F,N,Y,0,171000.0,Student,Higher education,Married,House / apartment,-18756,-3904,1,0,0,1,Core staff,2.0,1
5010468,M,Y,Y,0,675000.0,State servant,Higher education,Married,House / apartment,-11912,-2200,1,0,0,0,High skill tech staff,2.0,1
5010473,M,Y,Y,0,135000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-13087,-313,1,0,0,0,Other,2.0,1
5010480,M,Y,Y,2,315000.0,Working,Higher education,Married,House / apartment,-13803,-160,1,1,1,0,Other,4.0,0
5010491,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-13768,-4666,1,0,0,0,Secretaries,4.0,1
5010501,F,N,N,1,90000.0,Working,Secondary / secondary special,Separated,Rented apartment,-14210,-344,1,0,0,1,Sales staff,2.0,0
5010503,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17334,-2504,1,0,0,0,Sales staff,1.0,1
5010507,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,1,0,0,0,Laborers,3.0,0
5010534,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-21180,-1440,1,0,0,0,Security staff,2.0,0
5010535,F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13928,-3052,1,0,0,0,Laborers,4.0,1
5010556,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15774,-2901,1,0,1,0,High skill tech staff,2.0,1
5010564,F,Y,Y,0,121500.0,Working,Higher education,Married,House / apartment,-10145,-1682,1,0,0,1,Sales staff,2.0,1
5010574,M,Y,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,-11320,-1591,1,0,0,1,Drivers,3.0,0
5010583,F,N,N,1,72000.0,Commercial associate,Higher education,Married,House / apartment,-14173,-1925,1,0,0,1,Accountants,3.0,0
5010586,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16809,-3327,1,0,0,0,Managers,3.0,1
5010598,F,N,Y,1,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,-10916,-921,1,0,0,0,Accountants,3.0,0
5010599,F,N,Y,2,90000.0,Working,Higher education,Married,House / apartment,-11864,-4513,1,0,0,0,Drivers,4.0,0
5010613,F,N,Y,0,184500.0,Working,Secondary / secondary special,Married,House / apartment,-18551,-1226,1,0,0,0,Cleaning staff,2.0,1
5010615,F,N,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-21183,-1104,1,0,0,0,Cleaning staff,2.0,1
5010625,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19421,-2017,1,0,0,0,Other,1.0,1
